Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\RhythmVerseClient.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 8.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\RhythmVerseClient.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\RhythmVerseClient.csproj,,,System.Text.Json 8.0.4,,,,,"System.Text.Json, 8.0.4  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.3"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\RhythmVerseClient.csproj,,,WinUIEx 1.8.0,,,,,"WinUIEx, 1.8.0  Recommendation:  No supported version found"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\RhythmVerseClient.csproj,,,System.Text.Json 8.0.4,,,,,"System.Text.Json, 8.0.4  Recommendation:  System.Text.Json, 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\RhythmVerseClient.csproj,,,,,,,,Current target framework: net8.0-windows10.0.19041.0 Recommended target framework: net10.0-windows10.0.22000.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,29,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__TypeC9754CD09FCF514F));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __TypeC9754CD09FCF514F()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __TypeC9754CD09FCF514F()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,16,79,T:Microsoft.Maui.Controls.ResourceDictionary,,,,,ResourceDictionary
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,29,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__TypeFECCE6288951E5D1));"
